playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8477501,2024,Valeri Nichushkin,COL,R,other,23,1916.0,29.0,16.31,0.54,0.63,0.45,0.48,0.47,0.49,66.0,5.56,2.52,0.36,0.65,0.15,2.48,0.84,2.34,2.52,2.34,0.0,1.0,4.0,3.0,2.0,9.0,4.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.18,0.0,2.35,0.0,0.0,3.0,9.0,7.0,7.0,1.0,0.12,0.0,0.0,2.64,2.64,2.44,29.0,10.0,6.0,0.0,13.0,1.0,1.0,12.0,15.0,0.0,2.0,1519.0,0.0,0.0,0.0,2.0,25.24,7.77,7.53,7.77,7.53,20.0,14.0,11.0,45.0,7.0,1.0,0.0,17.0,6.0,11.0,0.76,0.83,6.18,1.0,0.0,6.0,45.0,34.0,34.0,0.48,0.17,0.17,8.07,8.07,7.85,27.18,6.67,6.44,6.67,6.44,27.0,12.0,16.0,55.0,7.0,5.0,0.0,19.0,9.0,11.0,0.73,1.11,4.83,0.0,1.0,6.0,55.0,39.0,39.0,0.59,1.01,1.01,6.25,6.25,6.07,6.5,3.86,32.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8477501,2024,Valeri Nichushkin,COL,R,all,23,26928.0,527.0,20.65,0.51,0.52,0.55,0.51,0.53,0.51,84.0,62.76,9.98,4.4,13.5,1.95,33.28,21.9,9.53,10.08,9.64,3.0,3.0,62.0,23.0,25.0,110.0,18.0,12.0,5.0,4.0,14.0,0.0,26.0,28.0,50.0,73.0,2.0,4.0,3.0,20.0,3.0,20.0,58.0,17.0,10.0,2.3,2.19,5.5,2.0,2.0,8.0,110.05,85.0,85.33,5.0,1.0,1.28,2.67,8.3,8.37,7.99,527.0,108.0,60.0,60.0,299.0,66.0,73.0,86.0,302.0,3.0,3.0,56172.0,4.0,4.0,2.0,10.0,255.78,28.94,27.91,29.25,28.22,246.0,109.0,157.0,512.0,35.0,17.0,7.0,269.0,57.0,29.0,8.03,7.04,13.87,9.0,9.0,17.0,513.66,355.0,358.32,4.0,4.92,4.92,28.03,28.31,27.47,232.4,27.42,25.98,27.24,25.82,221.0,94.0,112.0,427.0,25.0,33.0,3.0,219.0,58.0,38.0,6.69,7.8,12.93,9.0,6.0,10.0,424.58,315.0,312.76,3.56,8.26,8.39,22.59,22.48,21.96,42.71,39.97,903.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0
8477501,2024,Valeri Nichushkin,COL,R,5on5,23,19001.0,395.0,20.65,0.46,0.53,0.53,0.52,0.51,0.53,116.0,47.64,4.72,3.15,11.36,1.53,26.34,18.9,4.62,4.82,4.72,3.0,2.0,49.0,17.0,23.0,89.0,11.0,6.0,5.0,2.0,13.0,0.0,21.0,21.0,43.0,60.0,1.0,2.0,1.0,20.0,3.0,16.0,50.0,13.0,3.0,1.99,1.67,1.06,2.0,1.0,3.0,89.05,66.0,66.33,4.0,0.65,1.28,0.78,4.6,4.67,4.6,395.0,64.0,41.0,50.0,240.0,54.0,55.0,59.0,227.0,1.0,0.0,48415.0,2.0,4.0,2.0,6.0,166.72,13.58,13.22,13.89,13.53,162.0,70.0,113.0,345.0,20.0,10.0,4.0,180.0,43.0,9.0,5.49,5.24,2.85,7.0,7.0,6.0,346.66,232.0,235.32,2.14,2.41,2.41,13.31,13.59,13.37,166.99,16.05,15.16,15.87,15.0,157.0,69.0,85.0,311.0,13.0,21.0,3.0,170.0,36.0,20.0,4.88,4.88,6.29,7.0,2.0,4.0,308.58,226.0,223.76,2.17,5.94,6.07,12.15,12.04,11.79,30.98,27.39,806.0,731.0,0.31,0.81,10.0,20.0,8.0,16.0
8477501,2024,Valeri Nichushkin,COL,R,4on5,23,1962.0,57.0,18.88,0.05,0.14,0.16,0.17,0.19,0.21,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,12.0,3.0,41.0,5.0,15.0,4.0,33.0,2.0,0.0,3642.0,2.0,0.0,0.0,0.0,6.78,0.21,0.21,0.21,0.21,7.0,2.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,0.06,0.0,0.0,0.27,0.27,0.27,29.94,3.83,3.55,3.83,3.55,30.0,9.0,10.0,49.0,4.0,5.0,0.0,23.0,10.0,6.0,0.92,1.32,1.59,2.0,2.0,0.0,49.0,39.0,39.0,0.7,0.94,0.94,3.59,3.59,3.5,1.01,6.48,19.0,91.0,0.07,0.0,1.0,0.0,1.0,0.0
8477501,2024,Valeri Nichushkin,COL,R,5on4,23,4049.0,46.0,20.38,0.89,0.6,0.9,0.76,0.88,0.73,83.0,9.57,2.73,0.89,1.49,0.26,4.46,2.16,2.58,2.73,2.58,0.0,0.0,9.0,3.0,0.0,12.0,3.0,3.0,0.0,2.0,0.0,0.0,3.0,6.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,3.0,0.13,0.51,2.09,0.0,1.0,2.0,12.0,12.0,12.0,0.0,0.23,0.0,1.9,1.07,1.07,0.96,46.0,33.0,1.0,7.0,5.0,6.0,2.0,11.0,27.0,0.0,1.0,1902.0,0.0,0.0,0.0,2.0,57.04,7.38,6.96,7.38,6.96,57.0,23.0,33.0,113.0,8.0,6.0,3.0,63.0,8.0,9.0,1.58,0.96,4.84,1.0,2.0,5.0,113.0,80.0,80.0,1.33,2.33,2.33,6.38,6.38,5.98,8.28,0.87,0.83,0.87,0.83,7.0,4.0,1.0,12.0,1.0,2.0,0.0,7.0,3.0,1.0,0.16,0.49,0.22,0.0,1.0,0.0,12.0,11.0,11.0,0.1,0.37,0.37,0.6,0.6,0.59,1.45,0.97,32.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
8475794,2024,Tyler Seguin,DAL,C,other,19,990.0,20.0,16.47,0.52,0.36,0.46,0.45,0.43,0.4,86.0,3.52,1.07,0.22,0.62,0.12,1.7,1.27,1.05,1.07,1.05,2.0,0.0,3.0,2.0,2.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,2.0,2.0,0.06,0.19,0.82,0.0,0.0,2.0,7.0,5.0,5.0,0.0,0.07,0.06,0.06,1.08,1.08,1.06,20.0,8.0,6.0,0.0,6.0,1.0,3.0,6.0,10.0,8.0,10.0,1946.0,0.0,0.0,0.0,0.0,8.99,4.32,4.26,4.32,4.26,10.0,3.0,8.0,21.0,7.0,2.0,0.0,4.0,2.0,7.0,0.14,0.19,3.99,1.0,0.0,6.0,21.0,13.0,13.0,0.15,0.35,0.35,4.11,4.11,4.05,11.93,3.99,3.71,3.99,3.71,7.0,10.0,8.0,25.0,1.0,0.0,0.0,7.0,4.0,6.0,0.35,0.63,3.01,0.0,0.0,1.0,25.0,17.0,17.0,0.26,0.0,0.0,4.25,4.25,3.95,2.22,4.02,35.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
8475794,2024,Tyler Seguin,DAL,C,all,19,18491.0,404.0,21.24,0.61,0.5,0.58,0.51,0.56,0.51,98.0,45.64,7.73,3.49,9.73,1.61,23.74,15.7,7.3,7.8,7.36,8.0,3.0,43.0,19.0,26.0,88.0,20.0,9.0,5.0,2.0,8.0,0.0,12.0,28.0,34.0,53.0,1.0,2.0,87.0,4.0,4.0,12.0,32.0,18.0,12.0,1.31,2.27,4.14,2.0,2.0,5.0,88.9,62.0,62.75,2.0,0.8,0.52,1.96,6.56,6.6,6.41,404.0,76.0,55.0,62.0,211.0,57.0,40.0,60.0,247.0,87.0,80.0,49909.0,2.0,2.0,1.0,6.0,179.9,23.84,23.16,24.05,23.36,172.0,72.0,107.0,351.0,31.0,20.0,2.0,154.0,58.0,32.0,4.47,7.22,12.14,11.0,5.0,15.0,355.5,244.0,247.48,2.85,4.05,4.05,22.64,22.86,22.48,142.38,15.26,14.74,15.03,14.52,132.0,63.0,58.0,253.0,12.0,15.0,1.0,140.0,39.0,16.0,4.65,4.81,5.8,5.0,4.0,3.0,248.28,195.0,190.31,2.16,2.8,2.8,14.62,14.43,14.01,40.62,41.4,829.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0
8475794,2024,Tyler Seguin,DAL,C,5on5,19,14355.0,300.0,21.24,0.57,0.5,0.55,0.52,0.52,0.52,103.0,30.73,4.45,2.38,6.91,1.11,15.91,11.23,4.16,4.52,4.22,6.0,3.0,30.0,12.0,19.0,61.0,13.0,4.0,3.0,2.0,6.0,0.0,9.0,20.0,26.0,38.0,0.0,0.0,66.0,3.0,4.0,10.0,23.0,13.0,6.0,1.01,1.71,1.73,2.0,1.0,1.0,61.9,42.0,42.75,2.0,0.5,0.45,1.62,3.33,3.36,3.25,300.0,52.0,38.0,55.0,155.0,45.0,32.0,44.0,179.0,66.0,59.0,40063.0,0.0,2.0,1.0,6.0,129.58,13.64,13.18,13.84,13.38,125.0,51.0,79.0,255.0,17.0,14.0,2.0,116.0,44.0,16.0,3.54,5.59,4.51,10.0,3.0,4.0,259.5,176.0,179.48,1.82,3.11,3.11,12.35,12.57,12.35,116.84,10.12,9.9,9.89,9.68,113.0,47.0,49.0,209.0,8.0,13.0,1.0,121.0,30.0,9.0,4.0,3.58,2.55,5.0,2.0,1.0,204.28,160.0,155.31,1.6,2.77,2.77,8.96,8.76,8.67,27.03,27.04,653.0,607.0,0.46,0.49,14.0,13.0,12.0,11.0
8475794,2024,Tyler Seguin,DAL,C,4on5,19,710.0,32.0,19.39,0.24,0.11,0.22,0.13,0.24,0.15,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,10.0,1.0,21.0,5.0,2.0,2.0,23.0,2.0,7.0,3975.0,0.0,0.0,0.0,0.0,3.12,0.21,0.2,0.21,0.2,4.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.07,0.14,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.04,0.0,0.0,0.24,0.24,0.24,9.49,0.66,0.64,0.66,0.64,7.0,6.0,1.0,14.0,2.0,2.0,0.0,11.0,1.0,1.0,0.29,0.13,0.23,0.0,1.0,1.0,14.0,13.0,13.0,0.25,0.03,0.03,0.87,0.87,0.85,1.03,8.44,16.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
8475794,2024,Tyler Seguin,DAL,C,5on4,19,2436.0,52.0,18.9,0.92,0.89,0.93,0.89,0.91,0.85,102.0,11.39,2.21,0.89,2.2,0.38,6.12,3.2,2.08,2.21,2.08,0.0,0.0,10.0,5.0,5.0,20.0,3.0,3.0,1.0,0.0,2.0,0.0,3.0,6.0,7.0,12.0,1.0,2.0,11.0,0.0,0.0,2.0,8.0,3.0,4.0,0.23,0.38,1.6,0.0,1.0,2.0,20.0,15.0,15.0,0.0,0.24,0.01,0.28,2.16,2.16,2.11,52.0,16.0,1.0,6.0,29.0,6.0,3.0,8.0,35.0,11.0,4.0,3289.0,2.0,0.0,0.0,0.0,38.2,5.68,5.51,5.68,5.51,33.0,18.0,20.0,71.0,7.0,4.0,0.0,31.0,11.0,9.0,0.73,1.3,3.64,0.0,2.0,5.0,71.0,51.0,51.0,0.85,0.58,0.58,5.94,5.94,5.84,4.11,0.49,0.49,0.49,0.49,5.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,0.01,0.48,0.0,0.0,1.0,0.0,5.0,5.0,5.0,0.05,0.0,0.0,0.54,0.54,0.54,7.54,0.93,113.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8479378,2024,Logan Stanley,WPG,D,other,47,661.0,11.0,1.55,0.31,0.58,0.3,0.48,0.38,0.51,50.0,1.43,0.07,0.07,0.28,0.04,0.74,0.81,0.07,0.07,0.07,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.02,0.0,0.0,0.08,0.08,0.08,11.0,0.0,3.0,3.0,5.0,3.0,1.0,1.0,6.0,0.0,0.0,1908.0,0.0,0.0,0.0,2.0,5.5,1.17,1.11,1.17,1.11,4.0,4.0,2.0,10.0,2.0,0.0,0.0,5.0,1.0,2.0,0.17,0.15,0.85,0.0,1.0,1.0,10.0,8.0,8.0,0.08,0.0,0.0,1.25,1.25,1.19,10.6,2.55,1.98,2.55,1.98,9.0,4.0,10.0,23.0,2.0,3.0,0.0,6.0,3.0,4.0,0.23,0.49,1.83,1.0,0.0,1.0,23.0,13.0,13.0,0.27,1.14,1.14,1.68,1.68,1.51,6.79,4.89,50.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
8479378,2024,Logan Stanley,WPG,D,all,47,44171.0,961.0,6.4,0.4,0.56,0.42,0.52,0.43,0.53,234.0,43.06,1.45,2.36,12.74,1.41,25.04,19.0,1.4,1.45,1.41,3.0,5.0,38.0,24.0,38.0,100.0,9.0,1.0,3.0,0.0,11.0,1.0,23.0,23.0,37.0,61.0,19.0,52.0,0.0,67.0,10.0,47.0,62.0,0.0,0.0,1.45,0.0,0.0,1.0,0.0,0.0,100.76,62.0,62.44,28.0,0.48,0.53,0.02,1.9,1.91,1.84,961.0,50.0,119.0,135.0,657.0,144.0,148.0,108.0,561.0,0.0,0.0,126696.0,52.0,30.0,9.0,57.0,314.07,26.06,25.2,26.41,25.54,280.0,154.0,166.0,600.0,23.0,34.0,6.0,335.0,75.0,24.0,9.01,9.71,7.34,8.0,10.0,5.0,611.08,434.0,439.91,4.07,6.33,6.33,23.8,24.1,23.68,420.03,38.59,36.3,38.51,36.22,384.0,197.0,242.0,823.0,27.0,44.0,0.0,452.0,82.0,47.0,12.2,10.25,16.14,12.0,4.0,11.0,810.94,581.0,575.33,6.28,8.65,8.65,36.22,36.15,35.23,120.86,94.79,2162.0,1991.0,0.0,0.0,0.0,0.0,0.0,0.0
8479378,2024,Logan Stanley,WPG,D,5on5,47,39305.0,842.0,6.4,0.48,0.54,0.46,0.51,0.47,0.52,231.0,40.0,1.31,2.25,12.28,1.32,23.87,16.97,1.27,1.32,1.27,3.0,5.0,35.0,23.0,38.0,96.0,9.0,1.0,3.0,0.0,10.0,1.0,22.0,21.0,34.0,57.0,17.0,48.0,0.0,62.0,9.0,42.0,58.0,0.0,0.0,1.31,0.0,0.0,1.0,0.0,0.0,96.76,58.0,58.44,23.0,0.45,0.53,0.02,1.74,1.75,1.68,842.0,50.0,78.0,130.0,584.0,135.0,129.0,87.0,491.0,0.0,0.0,104432.0,48.0,26.0,7.0,45.0,300.94,23.76,22.96,24.1,23.29,268.0,148.0,164.0,580.0,21.0,34.0,6.0,325.0,72.0,19.0,8.69,9.33,5.73,8.0,9.0,4.0,591.08,416.0,421.91,3.88,6.33,6.33,21.3,21.6,21.25,338.41,25.24,24.38,25.16,24.3,310.0,162.0,203.0,675.0,12.0,32.0,0.0,381.0,68.0,23.0,10.37,8.57,6.31,8.0,3.0,1.0,662.94,472.0,466.33,4.4,5.28,5.28,24.36,24.28,23.83,74.53,63.24,1689.0,1616.0,3.33,0.52,61.0,11.0,51.0,10.0
8479378,2024,Logan Stanley,WPG,D,4on5,47,4162.0,104.0,6.55,0.1,0.13,0.07,0.11,0.09,0.13,125.0,1.64,0.07,0.03,0.18,0.05,0.44,1.22,0.07,0.07,0.07,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,4.0,0.0,5.0,1.0,5.0,2.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,5.0,0.01,0.0,0.0,0.08,0.08,0.08,104.0,0.0,38.0,2.0,64.0,6.0,18.0,18.0,62.0,0.0,0.0,6394.0,4.0,0.0,0.0,0.0,7.63,1.14,1.13,1.14,1.13,8.0,2.0,0.0,10.0,0.0,0.0,0.0,5.0,2.0,3.0,0.14,0.24,0.76,0.0,0.0,0.0,10.0,10.0,10.0,0.11,0.0,0.0,1.25,1.25,1.24,71.02,10.8,9.94,10.8,9.94,65.0,31.0,29.0,125.0,13.0,9.0,0.0,65.0,11.0,20.0,1.61,1.19,8.0,3.0,1.0,9.0,125.0,96.0,96.0,1.61,2.23,2.23,10.19,10.19,9.89,1.71,11.76,24.0,191.0,0.35,0.0,2.0,0.0,2.0,0.0
8479378,2024,Logan Stanley,WPG,D,5on4,47,43.0,4.0,-0.55,0.0,0.9,0.0,0.84,0.0,0.79,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,1382.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.36,41.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8475791,2024,Taylor Hall,CAR,L,other,57,1443.0,20.0,11.58,0.4,0.58,0.64,0.55,0.56,0.52,138.0,2.23,0.2,0.14,0.4,0.07,1.43,0.77,0.2,0.2,0.2,0.0,1.0,2.0,1.0,5.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.08,0.12,0.0,1.0,0.0,0.0,8.0,3.0,3.0,0.0,0.04,0.0,0.0,0.24,0.24,0.24,20.0,6.0,2.0,4.0,8.0,5.0,1.0,5.0,9.0,0.0,2.0,2764.0,0.0,0.0,0.0,1.0,20.73,5.67,3.77,5.67,3.77,18.0,10.0,18.0,46.0,3.0,2.0,0.0,11.0,9.0,8.0,0.5,1.18,3.99,1.0,1.0,1.0,46.0,28.0,28.0,0.45,1.39,1.39,4.72,4.72,3.84,14.07,8.38,8.15,8.38,8.15,16.0,6.0,4.0,26.0,8.0,0.0,0.0,7.0,2.0,13.0,0.29,0.2,7.9,1.0,0.0,7.0,26.0,22.0,22.0,0.16,0.0,0.0,8.48,8.48,8.24,11.29,8.22,68.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8475791,2024,Taylor Hall,CAR,L,all,57,51043.0,1016.0,24.91,0.49,0.45,0.52,0.46,0.51,0.46,376.0,108.93,10.11,7.19,25.97,3.54,55.7,42.49,9.7,10.07,9.67,11.0,5.0,101.0,44.0,72.0,217.0,26.0,10.0,8.0,1.0,20.0,0.0,45.0,62.0,91.0,135.0,11.0,22.0,38.0,32.0,27.0,46.0,106.0,25.0,14.0,3.0,3.27,3.83,4.0,3.0,3.0,214.12,145.0,144.46,12.0,1.58,2.3,1.89,9.79,9.8,9.54,1016.0,131.0,87.0,145.0,653.0,134.0,129.0,156.0,597.0,38.0,45.0,155349.0,22.0,14.0,7.0,35.0,439.44,42.71,39.38,42.82,39.52,390.0,210.0,268.0,868.0,39.0,36.0,3.0,438.0,112.0,50.0,12.55,13.88,16.29,16.0,14.0,9.0,863.92,600.0,600.12,6.37,8.41,8.41,40.68,40.91,39.28,420.08,44.7,42.91,45.32,43.49,393.0,184.0,225.0,802.0,48.0,44.0,9.0,414.0,110.0,53.0,11.86,13.79,19.04,16.0,15.0,17.0,812.35,577.0,586.22,5.63,9.19,9.28,40.98,41.37,40.47,114.31,138.63,2228.0,2657.0,0.0,0.0,0.0,0.0,0.0,0.0
8475791,2024,Taylor Hall,CAR,L,5on5,57,45337.0,889.0,24.91,0.48,0.46,0.49,0.47,0.49,0.47,291.0,95.04,8.56,6.03,22.82,3.05,47.99,37.55,8.26,8.53,8.23,9.0,4.0,90.0,36.0,62.0,188.0,21.0,8.0,6.0,0.0,19.0,0.0,39.0,54.0,82.0,118.0,11.0,22.0,28.0,29.0,25.0,40.0,93.0,20.0,13.0,2.61,2.61,3.34,3.0,2.0,3.0,185.11,126.0,125.46,12.0,1.26,1.28,1.21,8.61,8.62,8.39,889.0,102.0,84.0,133.0,570.0,111.0,119.0,137.0,522.0,28.0,38.0,124697.0,22.0,14.0,7.0,34.0,367.61,31.73,30.65,31.85,30.79,323.0,179.0,226.0,728.0,31.0,27.0,2.0,375.0,90.0,37.0,10.63,11.14,9.96,14.0,11.0,6.0,723.92,502.0,502.12,4.78,5.29,5.29,31.21,31.45,30.95,387.81,34.09,32.55,34.72,33.12,356.0,175.0,219.0,750.0,35.0,42.0,8.0,389.0,105.0,37.0,10.9,13.25,9.93,13.0,15.0,7.0,760.35,531.0,540.22,5.27,8.82,8.91,30.45,30.85,30.18,78.7,93.71,1823.0,2082.0,1.15,1.23,25.0,34.0,19.0,24.0
8475791,2024,Taylor Hall,CAR,L,4on5,57,56.0,9.0,-0.24,0.0,0.07,0.0,0.12,0.0,0.12,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,1.0,2.0,0.0,6.0,0.0,1.0,3726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.63,0.63,0.63,0.63,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.04,0.0,0.59,0.0,0.0,1.0,2.0,2.0,2.0,0.02,0.0,0.0,0.65,0.65,0.65,0.46,5.82,13.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
